,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-01-03,1453.2697512771133,1363.9215036362014,1604.0560526962295,1453.2697512771133,1453.2697512771133,32.46774144827043,32.46774144827043,32.46774144827043,15.926825636895877,15.926825636895877,15.926825636895877,-0.144365166310798,-0.144365166310798,-0.144365166310798,16.685280977685352,16.685280977685352,16.685280977685352,0.0,0.0,0.0,1485.7374927253836
1,2000-01-04,1453.0328940482668,1360.0738110656148,1613.9414199205664,1453.0328940482668,1453.0328940482668,34.892435966258844,34.892435966258844,34.892435966258844,15.926825636895877,15.926825636895877,15.926825636895877,1.5060391550634653,1.5060391550634653,1.5060391550634653,17.459571174299505,17.459571174299505,17.459571174299505,0.0,0.0,0.0,1487.9253300145256
2,2000-01-05,1452.79603681942,1368.1889994407534,1607.66530024704,1452.79603681942,1452.79603681942,35.117487249390294,35.117487249390294,35.117487249390294,15.926825636895877,15.926825636895877,15.926825636895877,0.9875578697532976,0.9875578697532976,0.9875578697532976,18.20310374274112,18.20310374274112,18.20310374274112,0.0,0.0,0.0,1487.9135240688101
3,2000-01-06,1452.5591795905732,1364.4470075295233,1608.3817781685398,1452.5591795905732,1452.5591795905732,36.3024730724912,36.3024730724912,36.3024730724912,15.926825636895877,15.926825636895877,15.926825636895877,1.4781520093798486,1.4781520093798486,1.4781520093798486,18.897495426215478,18.897495426215478,18.897495426215478,0.0,0.0,0.0,1488.8616526630644
4,2000-01-07,1452.3223223617263,1361.2014451804014,1612.6348584493858,1452.3223223617263,1452.3223223617263,35.60638669809338,35.60638669809338,35.60638669809338,15.926825636895877,15.926825636895877,15.926825636895877,0.15432435539633219,0.15432435539633219,0.15432435539633219,19.52523670580118,19.52523670580118,19.52523670580118,0.0,0.0,0.0,1487.9287090598195
5,2000-01-10,1451.6117506751862,1370.373388497014,1613.8013320046302,1451.6117506751862,1451.6117506751862,36.63968399266328,36.63968399266328,36.63968399266328,15.926825636895877,15.926825636895877,15.926825636895877,-0.14436516630894586,-0.14436516630894586,-0.14436516630894586,20.857223522076346,20.857223522076346,20.857223522076346,0.0,0.0,0.0,1488.2514346678495
6,2000-01-11,1451.3748934463392,1363.89071813577,1614.7124751135207,1451.3748934463392,1451.3748934463392,38.5110084215481,38.5110084215481,38.5110084215481,15.926825636895877,15.926825636895877,15.926825636895877,1.5060391550630479,1.5060391550630479,1.5060391550630479,21.078143629589178,21.078143629589178,21.078143629589178,0.0,0.0,0.0,1489.8859018678872
7,2000-01-12,1451.1380362174928,1368.306324704382,1611.5389920260552,1451.1380362174928,1451.1380362174928,38.0891390829843,38.0891390829843,38.0891390829843,15.926825636895877,15.926825636895877,15.926825636895877,0.9875578697534281,0.9875578697534281,0.9875578697534281,21.174755576335002,21.174755576335002,21.174755576335002,0.0,0.0,0.0,1489.227175300477
8,2000-01-13,1450.901178988646,1379.207715099114,1627.6400999437105,1450.901178988646,1450.901178988646,38.549114319266444,38.549114319266444,38.549114319266444,15.926825636895877,15.926825636895877,15.926825636895877,1.4781520093794716,1.4781520093794716,1.4781520093794716,21.144136672991095,21.144136672991095,21.144136672991095,0.0,0.0,0.0,1489.4502933079125
9,2000-01-14,1450.6643217597991,1373.7881794502473,1616.6778765347951,1450.6643217597991,1450.6643217597991,37.067919697163894,37.067919697163894,37.067919697163894,15.926825636895877,15.926825636895877,15.926825636895877,0.15432435539520695,0.15432435539520695,0.15432435539520695,20.98676970487281,20.98676970487281,20.98676970487281,0.0,0.0,0.0,1487.732241456963
